,url,img,bank,card_name,card_type,card_feature_description,card_benefit_description,cost_interest_rate_annum,cost_annual_fee,cost_annual_fee_condition,required_income,required_age,required_applicant,cashback,cashback_category,cashback_info,reward,reward_category,reward_info,travel_benefit,travel_benefit_category,travel_benefit_info,premium,premium_info,petrol,petrol_info
0,https://ringgitplus.com/en/credit-card/AEON-Platinum-Visa.html,https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,,,,15% p.a.,0,free*,5000,21 years old  years old primary card | 18 years old supplementary card,Anybody,TRUE,"{""AEON and AEON BiG Thank You Day"": [""5%"", ""RM100"", ""any amount monthly""], ""Online utility bill payment"": [""2%"", ""RM25"", ""any amount monthly""]}","Get 5% cashback every 20th and 28th day of the month, in addition to 2% cashback on utility bill payment made online. That's not all, watching movies at selected AEON malls get you RM14 rebate, applicable only every weekday.",TRUE,"{""4 points on every RM1"": [""for spending within AEON and AEON BiG stores""], ""3 points on every RM1"": [""for petrol, overseas and dining transactions in the first year""], ""1 point on every RM1"": [""on other transactions""]}","Enjoy Welcome Point of 3x AEON Point for every RM1 on Petrol, Dining and Overseas transaction for 1 year only from card approval date. Besides, spending inside of AEON and AEON BiG stores get you 4x AEON Points.",TRUE,"{""Travel Insurance"": [""Up to RM1,000,000""], ""Delayed Flight"": [""Up to RM600""], ""Delayed Luggage"": [""Up to RM600""]}","Purchase your flight ticket with AEON Platinum Visa to get covered with up to RM1 million global travel insurance coverage. Plus, enjoy complimentary access to Plaza Premium Lounge for 6 times per year!",TRUE,Enjoy up to RM14 Movie Rebate (weekday only) at selected participating cinemas.,TRUE,"Pay for your petrol purchase with AEON Platinum Visa and collect 3x AEON Points, which runs for 1 year from your card approval date!"
1,https://ringgitplus.com/en/credit-card/AEON-BiG-Visa-Gold.html,https://ringgitplus.com/img/card-400/565d7a5c7c3b559945f5257e/aeon-big-visa-gold.jpg,aeon,aeon_big_visa_gold,,,,15% p.a.,0,free*,3000,21 years old  years old primary card | 18 years old supplementary card,Cardmember of AEON BiG Membership Program,TRUE,"{""AEON BiG Thank You Day"": [""5%"", ""RM100"", ""up to RM2,000 monthly""], ""Petrol transactions on Sunday"": [""5%"", ""RM15"", ""up to RM500 monthly on weekends only""], ""Online & Overseas Spending"": [""2%"", ""RM15"", ""any amount monthly""]}","Swipe more and save more with 5% cash rebate at any AEON BiG Stores on 28th of every month, transactions made at AEON BiG Stores via payWave and petrol expenses on every Sunday. Bill payments are not entitled for cash back.",TRUE,"{""4 points on every RM1"": [""in all AEON BiG Stores nationwide every 10th of the month""], ""2 points on every RM1"": [""in AEON BiG Stores""], ""1 point on every RM2"": [""other transaction""]}","Collect rewards points to redeem AEON exclusive gifts ranging from vouchers to merchandises. Earn points whenever you swipe your credit card, at AEON BiG Stores or outside.",TRUE,"{""Travel Insurance"": [""Up to RM200,000""], ""Delayed Flight"": [""Up to RM400""], ""Lost Luggage"": [""Up to RM250""], ""Delayed Luggage"": [""Up to RM400""]}","Travel safe with free travel insurance up to RM200,000 when you charge your flight tickets to your credit card. Enjoy 3x free passes for Plaza Premium Lounge at KLIA and klia2 and exclusive discount of 20% for your accompanying guests.",FALSE,,TRUE,Fill up your fuel tank to the fullest on every Sunday as you'll get 5% cash rebate which is capped at RM25 per month.
2,https://ringgitplus.com/en/credit-card/AEON-Platinum-MasterCard.html,https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,,,,15% p.a.,0,free*,5000,21 years old  years old primary card | 18 years old supplementary card,Anybody,TRUE,"{""AEON and AEON BiG Thank You Day"": [""5%"", ""RM100"", ""any amount monthly""], ""Online utility bill payment"": [""2%"", ""RM25"", ""any amount monthly""]}","Get 5% cashback every 20th and 28th day of the month, in addition to 2% cashback on utility bill payment made online. That's not all, watching movies at selected AEON malls get you RM14 rebate, applicable only every weekday.",TRUE,"{""4 points on every RM1"": [""for spending within AEON and AEON BiG stores""], ""3 points on every RM1"": [""for petrol, overseas and dining transactions in the first year""], ""1 point on every RM1"": [""for other transactions""]}","Enjoy Welcome Point of 3x AEON Point for every RM1 on Petrol, Dining and Overseas transaction for 1 year only from card approval date. Besides, spending inside of AEON and AEON BiG stores get you 4x AEON Points.",TRUE,"{""Travel Insurance"": [""Up to RM1,000,000""], ""Delayed Flight"": [""Up to RM600""], ""Delayed Luggage"": [""Up to RM600""]}","Purchase your flight ticket with AEON Platinum MasterCard to get covered with up to RM1 million global travel insurance coverage. Plus, enjoy complimentary access to Plaza Premium Lounge for 6 times per year!",TRUE,"For movie-goers, enjoy up to RM14 rebate on Weekday at selected participating cinemas!",TRUE,"Pay for your petrol purchase with AEON Platinum Visa and collect 3x AEON Points, which runs for 1 year from your card approval date!"
3,https://ringgitplus.com/en/credit-card/New-AEON-Visa-Gold.html,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000a/new-aeon-visa-gold.jpg,aeon,new_aeon_visa_gold,,,,15% p.a.,0,free*,3000,21 years old  years old primary card | 18 years old supplementary card,Anybody,TRUE,"{""AEON Thank You Day"": [""5%"", ""RM100"", ""any amount in a single receipt""]}",Get 5% cashback on AEON Thank You Day (on the 20th of every month) and save up to a maximum of RM100!,TRUE,"{""4 points on every RM1"": [""at AEON Stores every 10th of the month""], ""2 points on every RM1"": [""at AEON Stores everyday""], ""1 point on every RM2"": [""on other transactions""]}",Get discounts at all AEON stores and earn AEON MEMBER Points for every ringgit spent.,TRUE,"{""Travel Insurance"": [""Up to RM200,000""], ""Delayed Flight"": [""Up to RM400""], ""Lost Luggage"": [""Up to RM250""], ""Delayed Luggage"": [""Up to RM400""]}","Enjoy complimentary RM200,000 travel insurance and free access to KLIA Plaza Premium Lounge while waiting for flights for 3x times a year.",TRUE,AEON World Desk Centre provides personalised services and global assistance from lost and stolen cards to hotel reservations.,FALSE,
4,https://ringgitplus.com/en/credit-card/AEON-MasterCard-Gold.html,https://ringgitplus.com/img/card-400/519489e2193821ed4a000003/aeon-mastercard-gold.jpg,aeon,aeon_mastercard_gold,,,,15% p.a.,0,free*,3000,21 years old  years old primary card | 18 years old supplementary card,Anybody,TRUE,"{""Dining"": [""5%"", ""RM25"", ""any amount monthly""]}",Enjoy 5% cashback when you spend on dining.,TRUE,"{""1 point on every RM2"": [""on retail spending""]}",Shop at a discount at AEON participating merchants and earn 1X AEON Points for every RM2 spent! Accumulated reward points that can be exchanged for AEON gift Vouchers for greater savings on household items and groceries.,TRUE,"{""Personal Accident"": [""Up to RM200,000""], ""Delayed Flight"": [""Up to RM400""], ""Lost Luggage"": [""Up to RM250""], ""Delayed Luggage"": [""Up to RM400""]}","Enjoy complimentary Plaza Premium Lounge access up to 3x per year for principal cardholder, Travel Personal Accident coverage up to RM200,000.",TRUE,AEON World Desk Centre provides personalised services and global assistance from lost and stolen cards to hotel reservations,FALSE,
5,https://ringgitplus.com/en/credit-card/AEON-Visa-Gold.html,https://ringgitplus.com/img/card-400/519489e2193821ed4a000009/aeon-visa-gold.jpg,aeon,aeon_visa_gold,,,,15% p.a.,0,free*,3000,21 years old  years old primary card | 18 years old supplementary card,Anybody,TRUE,"{""Dining"": [""5%"", ""RM25"", ""any amount monthly""]}",Get 5% Cashback when you spend on dining.,TRUE,"{""1 point on every RM2"": [""on retail spending""]}","Get exclusive discounts at AEON participating merchants and earn 1X AEON MEMBER Points for every RM2 spent! Accumulated AEON MEMBER Points can be exchanged for shopping, dining, and traveling vouchers. Points expire in 3 years so make sure you don't let them go to waste.",TRUE,"{""Personal Accident"": [""Up to RM200,000""], ""Delayed Flight"": [""Up to RM400""], ""Lost Luggage"": [""Up to RM250""], ""Delayed Luggage"": [""Up to RM400""]}","Enjoy complimentary Plaza Premium Lounge access up to 3x per year for principal cardholder, Travel Personal Accident coverage up to RM200,000.",TRUE,AEON World Desk Centre provides personalised services and global assistance from lost and stolen cards to hotel reservations.,FALSE,
6,https://ringgitplus.com/en/credit-card/New-AEON-Visa-Classic.html,https://ringgitplus.com/img/card-400/519489e2193821ed4a000002/new-aeon-visa-classic.jpg,aeon,new_aeon_visa_classic,,,,15% p.a.,0,free*,2000,21 years old  years old primary card | 18 years old supplementary card,Anybody,TRUE,"{""AEON Thank You Day"": [""5%"", ""RM100"", ""any amount in a single receipt""]}",5% cashback on the 20th of every month at AEON Stores. 2% cashback at any AEON stores. You can save up to a maximum of RM100!,TRUE,"{""4 points on every RM1"": [""at AEON Stores every 10th of the month""], ""2 points on every RM1"": [""at AEON Stores everyday""], ""1 point on every RM2"": [""other and overseas transactions (except Petrol and Government department)""]}",Earn 4x AEON Points when you shop at AEON on the 10th of every month. Earn 2x AEON Points for every Ringgit spent on normal days. Other transactions reward you 1x AEON Point for every RM2 spent.,TRUE,,AEON World Desk Centre provides personalised services and global assistance from lost and stolen cards to hotel reservations.,FALSE,,FALSE,
7,https://ringgitplus.com/en/credit-card/AEON-BiG-Visa-Classic.html,https://ringgitplus.com/img/card-400/565d8b437c3b559945f525a4/aeon-big-visa-classic.jpg,aeon,aeon_big_visa_classic,,,,15% p.a.,0,free*,2000,21 years old  years old primary card | 18 years old supplementary card,Cardmember of AEON BiG Membership Program,TRUE,"{""AEON BiG Thank You Day"": [""5%"", ""RM100"", ""up to RM2,000 monthly""], ""Petrol transactions on Sunday"": [""5%"", ""RM15"", ""up to RM500 monthly on weekends only""], ""Overseas and online transactions"": [""2%"", ""RM15"", ""up to RM300 monthly""]}","There are more ways to save money than you can imagine with AEON credit card, up to 5% cash rebate on petrol, 2% on overseas and online transactions and many more!",TRUE,"{""4 points on every RM1"": [""at AEON BiG Stores on every 10th of the month""], ""2 points on every RM1"": [""at AEON BiG Stores on a normal day""], ""1 point on every RM2"": [""on other transactions""]}",Accumulate AEON Member Points faster than ever and exchange them for the prizes you have been longing for! You can even earn 2 rewards points on a normal day at any AEON BiG Stores.,TRUE,,"Explore the world with peace of mind as you will be covered with a complimentary travel personal accident coverage up to RM200,000 when you charge your flight tickets to AEON BiG Visa Classic.",FALSE,,FALSE,
8,https://ringgitplus.com/en/credit-card/New-AEON-MasterCard-Gold.html,https://ringgitplus.com/img/card-400/519489e2193821ed4a000004/new-aeon-mastercard-gold.jpg,aeon,new_aeon_mastercard_gold,,,,15% p.a.,0,free*,3000,21 years old  years old primary card | 18 years old supplementary card,Anybody,TRUE,"{""AEON Thank You Day"": [""5%"", ""RM100"", ""any amount in a single receipt""]}",5% cashback on AEON Thank You Day (on the 20th of every month). You can save up to a maximum of RM100!,TRUE,"{""4 points on every RM1"": [""at AEON Stores every 10th of the month""], ""2 points on every RM1"": [""at AEON stores""], ""1 point on every RM2"": [""on other transactions""]}",Get discounts on selected items at all AEON stores and earn AEON MEMBER Points for every ringgit spent.,TRUE,"{""Travel Insurance"": [""Up to RM200,000""], ""Delayed Flight"": [""Up to RM400""], ""Lost Luggage"": [""Up to RM250""], ""Delayed Luggage"": [""Up to RM400""]}",Enjoy complimentary Flight Travel Personal Accident insurance and free access to KLIA Plaza Premium Lounge while waiting for flights for 3x times a year.,TRUE,AEON World Desk Centre provides personalised services and global assistance from lost and stolen cards to hotel reservations.,FALSE,
9,https://ringgitplus.com/en/credit-card/AEON-The-Japan-Club-of-Kuala-Lumpur-Visa.html,https://ringgitplus.com/img/card-400/5892dd927244082635c2913b/aeon-the-japan-club-of-kuala-lumpur-visa.jpg,aeon,aeon_the_japan_club_of_kuala_lumpur_visa,,,,15% p.a.,0,free,4000,21 years old  years old primary card | 18 years old supplementary card,Japanese Association of KL,TRUE,"{""AEON BiG Thank You Members Day"": [""5%"", ""RM100"", ""any amount monthly""]}",Enjoy 5% cashbacks when you shop at AEON on the AEON BiG Thank You Member day on the 28th of every month.,TRUE,"{""1 point on every RM1"": [""all retail spend""]}","No matter what you spend on, as long as its retail, you get to earn 1 point ever RM1 you spend. Collect points to redeem awesome gifts.",TRUE,"{""Personal Accident"": [""Up to RM1,000,000""]}","Travel easy with complimentary 6x Plaza Premium Lounge passes in Malaysia and travel insurance coverage of up to RM1,000,000 for any accidents that might befall you.",FALSE,,FALSE,
